sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,East Carolina,Memphis,Katin Houser,QB,24,18,264.1,3,0,9,0,0.0,0,0,0,0.0,0
32,A,East Carolina,Memphis,Parker Jenkins,Rusher,0,0,0.0,0,0,0,8,36.1,1,0,0,0.0,0
32,A,East Carolina,Memphis,London Montgomery,Rusher,0,0,0.0,0,0,0,6,57.5,0,0,0,0.0,0
32,A,East Carolina,Memphis,Marlon Gunn,Rusher,0,0,0.0,0,0,0,7,14.2,0,0,0,0.0,0
32,A,East Carolina,Memphis,Mike Wright,Rusher,0,0,0.0,0,0,0,2,21.1,0,0,0,0.0,0
32,A,East Carolina,Memphis,DeJuan Lacy,Rusher,0,0,0.0,0,0,0,1,8.0,0,0,0,0.0,0
32,A,East Carolina,Memphis,Katin Houser,Rusher,0,0,0.0,0,0,0,2,-8.2,0,0,0,0.0,0
32,A,East Carolina,Memphis,TJ Engleman,Rusher,0,0,0.0,0,0,0,1,2.7,0,0,0,0.0,0
32,A,East Carolina,Memphis,Desirrio Riles,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,19.5,0
32,A,East Carolina,Memphis,Brock Spalding,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,37.0,0
32,A,East Carolina,Memphis,Tyler Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,12.8,0
32,A,East Carolina,Memphis,Anthony Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,46.1,2
32,A,East Carolina,Memphis,Jaquaize Pettaway,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,24.8,0
32,A,East Carolina,Memphis,Payton Mangrum,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,20.9,0
32,A,East Carolina,Memphis,Jyron Waiters,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,59.3,1
32,A,East Carolina,Memphis,Yannick Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,43.6,0
32,A,East Carolina,Memphis,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Memphis,East Carolina,Brendon Lewis,QB,40,29,378.5,1,0,2,0,0.0,0,0,0,0.0,0
32,A,Memphis,East Carolina,Brendon Lewis,Rusher,0,0,0.0,0,0,0,6,16.4,0,0,0,0.0,0
32,A,Memphis,East Carolina,Sutton Smith,Rusher,0,0,0.0,0,0,0,10,23.1,2,0,0,0.0,0
32,A,Memphis,East Carolina,Frank Peasant,Rusher,0,0,0.0,0,0,0,2,-7.6,0,0,0,0.0,0
32,A,Memphis,East Carolina,Gregory DeRosiers,Rusher,0,0,0.0,0,0,0,10,33.6,1,0,0,0.0,0
32,A,Memphis,East Carolina,Makari Bodiford,Rusher,0,0,0.0,0,0,0,2,-0.9,0,0,0,0.0,0
32,A,Memphis,East Carolina,Marcello Bussey,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,12.7,0
32,A,Memphis,East Carolina,Bryce Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,47.2,0
32,A,Memphis,East Carolina,Ger-Cari Caldwell,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,53.8,0
32,A,Memphis,East Carolina,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,6,37.3,0
32,A,Memphis,East Carolina,Cortez Braham,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,14.0,0
32,A,Memphis,East Carolina,Christian Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,36.3,0
32,A,Memphis,East Carolina,Bryce Dorsey,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,24.7,0
32,A,Memphis,East Carolina,Jamari Hawkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,63.7,1
32,A,Memphis,East Carolina,Brady Kluse,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,38.0,0
32,A,Memphis,East Carolina,Matt Adcock,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,26.8,0
32,A,Memphis,East Carolina,Jadon Thompson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,24.0,0
33,B,Memphis,East Carolina,Brendon Lewis,QB,27,18,241.5,1,0,4,0,0.0,0,0,0,0.0,0
33,B,Memphis,East Carolina,Sutton Smith,Rusher,0,0,0.0,0,0,0,15,90.0,1,0,0,0.0,0
33,B,Memphis,East Carolina,Frank Peasant,Rusher,0,0,0.0,0,0,0,2,3.7,0,0,0,0.0,0
33,B,Memphis,East Carolina,Gregory DeRosiers,Rusher,0,0,0.0,0,0,0,11,47.3,0,0,0,0.0,0
33,B,Memphis,East Carolina,Brendon Lewis,Rusher,0,0,0.0,0,0,0,7,15.2,1,0,0,0.0,0
33,B,Memphis,East Carolina,Khyair Spain,Rusher,0,0,0.0,0,0,0,2,0.9,0,0,0,0.0,0
33,B,Memphis,East Carolina,Makari Bodiford,Rusher,0,0,0.0,0,0,0,3,2.4,0,0,0,0.0,0
33,B,Memphis,East Carolina,Arrington Maiden,Rusher,0,0,0.0,0,0,0,2,8.5,0,0,0,0.0,0
33,B,Memphis,East Carolina,Matt Adcock,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,21.0,0
33,B,Memphis,East Carolina,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,26.6,1
33,B,Memphis,East Carolina,Marcello Bussey,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,34.2,0
33,B,Memphis,East Carolina,Cortez Braham,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,39.5,0
33,B,Memphis,East Carolina,Christian Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
33,B,Memphis,East Carolina,Jamari Hawkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,27.4,0
33,B,Memphis,East Carolina,Bryce Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,72.8,0
33,B,Memphis,East Carolina,Ger-Cari Caldwell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.7,0
33,B,Memphis,East Carolina,Bryce Dorsey,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
33,B,Memphis,East Carolina,C.J. Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Memphis,East Carolina,Jadon Thompson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.3,0
33,B,East Carolina,Memphis,Katin Houser,QB,17,7,58.6,0,0,8,0,0.0,0,0,0,0.0,0
33,B,East Carolina,Memphis,Mike Wright,Rusher,0,0,0.0,0,0,0,1,5.7,0,0,0,0.0,0
33,B,East Carolina,Memphis,London Montgomery,Rusher,0,0,0.0,0,0,0,5,1.1,0,0,0,0.0,0
33,B,East Carolina,Memphis,Marlon Gunn,Rusher,0,0,0.0,0,0,0,5,30.1,0,0,0,0.0,0
33,B,East Carolina,Memphis,Katin Houser,Rusher,0,0,0.0,0,0,0,6,17.4,0,0,0,0.0,0
33,B,East Carolina,Memphis,DeJuan Lacy,Rusher,0,0,0.0,0,0,0,5,24.6,0,0,0,0.0,0
33,B,East Carolina,Memphis,Parker Jenkins,Rusher,0,0,0.0,0,0,0,3,-2.4,0,0,0,0.0,0
33,B,East Carolina,Memphis,Jaquaize Pettaway,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
33,B,East Carolina,Memphis,Yannick Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,5.3,0
33,B,East Carolina,Memphis,Tyler Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,14.8,0
33,B,East Carolina,Memphis,Brock Spalding,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,22.4,0
33,B,East Carolina,Memphis,Anthony Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,16.1,0
33,B,East Carolina,Memphis,Jyron Waiters,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
33,B,East Carolina,Memphis,Desirrio Riles,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,East Carolina,Memphis,Jayvontay Conner,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
34,A,East Carolina,Memphis,Katin Houser,QB,30,22,202.4,1,0,7,0,0.0,0,0,0,0.0,0
34,A,East Carolina,Memphis,London Montgomery,Rusher,0,0,0.0,0,0,0,6,17.7,0,0,0,0.0,0
34,A,East Carolina,Memphis,Parker Jenkins,Rusher,0,0,0.0,0,0,0,7,26.1,0,0,0,0.0,0
34,A,East Carolina,Memphis,Katin Houser,Rusher,0,0,0.0,0,0,0,7,38.7,0,0,0,0.0,0
34,A,East Carolina,Memphis,TJ Engleman,Rusher,0,0,0.0,0,0,0,2,3.1,0,0,0,0.0,0
34,A,East Carolina,Memphis,DeJuan Lacy,Rusher,0,0,0.0,0,0,0,3,6.5,0,0,0,0.0,0
34,A,East Carolina,Memphis,Marlon Gunn,Rusher,0,0,0.0,0,0,0,2,10.6,0,0,0,0.0,0
34,A,East Carolina,Memphis,Anthony Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,86.3,1
34,A,East Carolina,Memphis,Brock Spalding,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,28.9,0
34,A,East Carolina,Memphis,Kelan Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
34,A,East Carolina,Memphis,Yannick Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,16.7,0
34,A,East Carolina,Memphis,Jaquaize Pettaway,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,9.2,0
34,A,East Carolina,Memphis,Jayvontay Conner,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,11.7,0
34,A,East Carolina,Memphis,Payton Mangrum,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.4,0
34,A,East Carolina,Memphis,Jyron Waiters,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,34.3,0
34,A,East Carolina,Memphis,Tyler Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.9,0
34,A,East Carolina,Memphis,Desirrio Riles,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
34,A,Memphis,East Carolina,Brendon Lewis,QB,29,21,170.0,1,0,4,0,0.0,0,0,0,0.0,0
34,A,Memphis,East Carolina,Sutton Smith,Rusher,0,0,0.0,0,0,0,10,48.7,1,0,0,0.0,0
34,A,Memphis,East Carolina,Makari Bodiford,Rusher,0,0,0.0,0,0,0,4,16.9,0,0,0,0.0,0
34,A,Memphis,East Carolina,Gregory DeRosiers,Rusher,0,0,0.0,0,0,0,9,30.2,1,0,0,0.0,0
34,A,Memphis,East Carolina,Brendon Lewis,Rusher,0,0,0.0,0,0,0,6,25.7,0,0,0,0.0,0
34,A,Memphis,East Carolina,Arrington Maiden,Rusher,0,0,0.0,0,0,0,2,8.8,0,0,0,0.0,0
34,A,Memphis,East Carolina,Frank Peasant,Rusher,0,0,0.0,0,0,0,1,0.9,0,0,0,0.0,0
34,A,Memphis,East Carolina,Marcello Bussey,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,7.2,1
34,A,Memphis,East Carolina,Bryce Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,24.6,0
34,A,Memphis,East Carolina,Ger-Cari Caldwell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,2.3,0
34,A,Memphis,East Carolina,Cortez Braham,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,50.9,0
34,A,Memphis,East Carolina,Jamari Hawkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,13.7,0
34,A,Memphis,East Carolina,Matt Adcock,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,22.9,0
34,A,Memphis,East Carolina,C.J. Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,1.9,0
34,A,Memphis,East Carolina,Brady Kluse,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,41.0,0
34,A,Memphis,East Carolina,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
34,A,Memphis,East Carolina,Jadon Thompson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,5.5,0
35,B,Memphis,East Carolina,Brendon Lewis,QB,28,20,207.6,3,0,2,0,0.0,0,0,0,0.0,0
35,B,Memphis,East Carolina,Sutton Smith,Rusher,0,0,0.0,0,0,0,15,66.2,0,0,0,0.0,0
35,B,Memphis,East Carolina,Gregory DeRosiers,Rusher,0,0,0.0,0,0,0,8,33.7,0,0,0,0.0,0
35,B,Memphis,East Carolina,Frank Peasant,Rusher,0,0,0.0,0,0,0,4,20.5,1,0,0,0.0,0
35,B,Memphis,East Carolina,Brendon Lewis,Rusher,0,0,0.0,0,0,0,7,19.4,0,0,0,0.0,0
35,B,Memphis,East Carolina,Makari Bodiford,Rusher,0,0,0.0,0,0,0,5,18.3,0,0,0,0.0,0
35,B,Memphis,East Carolina,Christian Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,28.9,1
35,B,Memphis,East Carolina,Marcello Bussey,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,7.1,0
35,B,Memphis,East Carolina,Brady Kluse,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,15.4,0
35,B,Memphis,East Carolina,Bryce Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,25.1,0
35,B,Memphis,East Carolina,Jamari Hawkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,64.6,1
35,B,Memphis,East Carolina,Cortez Braham,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,36.5,0
35,B,Memphis,East Carolina,C.J. Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
35,B,Memphis,East Carolina,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,29.5,1
35,B,Memphis,East Carolina,Bryce Dorsey,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.3,0
35,B,Memphis,East Carolina,Ger-Cari Caldwell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
35,B,East Carolina,Memphis,Katin Houser,QB,22,15,161.0,0,0,4,0,0.0,0,0,0,0.0,0
35,B,East Carolina,Memphis,Mike Wright,Rusher,0,0,0.0,0,0,0,3,20.8,0,0,0,0.0,0
35,B,East Carolina,Memphis,London Montgomery,Rusher,0,0,0.0,0,0,0,10,60.2,1,0,0,0.0,0
35,B,East Carolina,Memphis,Parker Jenkins,Rusher,0,0,0.0,0,0,0,9,51.2,1,0,0,0.0,0
35,B,East Carolina,Memphis,DeJuan Lacy,Rusher,0,0,0.0,0,0,0,2,7.2,0,0,0,0.0,0
35,B,East Carolina,Memphis,Katin Houser,Rusher,0,0,0.0,0,0,0,3,4.9,0,0,0,0.0,0
35,B,East Carolina,Memphis,Marlon Gunn,Rusher,0,0,0.0,0,0,0,4,5.1,0,0,0,0.0,0
35,B,East Carolina,Memphis,Jaquaize Pettaway,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,13.2,0
35,B,East Carolina,Memphis,Jyron Waiters,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,15.4,0
35,B,East Carolina,Memphis,Anthony Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,24.0,0
35,B,East Carolina,Memphis,Desirrio Riles,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,47.2,0
35,B,East Carolina,Memphis,Payton Mangrum,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,15.3,0
35,B,East Carolina,Memphis,Jayvontay Conner,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.5,0
35,B,East Carolina,Memphis,Yannick Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,38.4,0
35,B,East Carolina,Memphis,Tyler Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
35,B,East Carolina,Memphis,Brock Spalding,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
36,A,East Carolina,Memphis,Katin Houser,QB,26,19,232.9,2,0,4,0,0.0,0,0,0,0.0,0
36,A,East Carolina,Memphis,Katin Houser,Rusher,0,0,0.0,0,0,0,4,29.7,0,0,0,0.0,0
36,A,East Carolina,Memphis,London Montgomery,Rusher,0,0,0.0,0,0,0,10,47.0,1,0,0,0.0,0
36,A,East Carolina,Memphis,Marlon Gunn,Rusher,0,0,0.0,0,0,0,10,67.1,1,0,0,0.0,0
36,A,East Carolina,Memphis,Parker Jenkins,Rusher,0,0,0.0,0,0,0,10,18.2,0,0,0,0.0,0
36,A,East Carolina,Memphis,DeJuan Lacy,Rusher,0,0,0.0,0,0,0,2,-0.3,0,0,0,0.0,0
36,A,East Carolina,Memphis,Mike Wright,Rusher,0,0,0.0,0,0,0,1,12.1,0,0,0,0.0,0
36,A,East Carolina,Memphis,Anthony Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,9,121.8,1
36,A,East Carolina,Memphis,Yannick Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,36.3,0
36,A,East Carolina,Memphis,Jyron Waiters,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
36,A,East Carolina,Memphis,Desirrio Riles,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.5,0
36,A,East Carolina,Memphis,Tyler Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,8.6,0
36,A,East Carolina,Memphis,Jaquaize Pettaway,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,16.3,0
36,A,East Carolina,Memphis,Kelan Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.3,0
36,A,East Carolina,Memphis,Jayvontay Conner,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,21.9,0
36,A,East Carolina,Memphis,Brock Spalding,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,16.1,1
36,A,Memphis,East Carolina,Brendon Lewis,QB,29,22,264.3,2,0,6,0,0.0,0,0,0,0.0,0
36,A,Memphis,East Carolina,Gregory DeRosiers,Rusher,0,0,0.0,0,0,0,6,30.2,0,0,0,0.0,0
36,A,Memphis,East Carolina,Makari Bodiford,Rusher,0,0,0.0,0,0,0,3,28.5,0,0,0,0.0,0
36,A,Memphis,East Carolina,Brendon Lewis,Rusher,0,0,0.0,0,0,0,5,26.4,1,0,0,0.0,0
36,A,Memphis,East Carolina,Arrington Maiden,Rusher,0,0,0.0,0,0,0,1,-2.7,0,0,0,0.0,0
36,A,Memphis,East Carolina,Sutton Smith,Rusher,0,0,0.0,0,0,0,9,25.4,0,0,0,0.0,0
36,A,Memphis,East Carolina,Frank Peasant,Rusher,0,0,0.0,0,0,0,2,10.5,0,0,0,0.0,0
36,A,Memphis,East Carolina,Khyair Spain,Rusher,0,0,0.0,0,0,0,1,2.6,0,0,0,0.0,0
36,A,Memphis,East Carolina,Cortez Braham,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,10.6,0
36,A,Memphis,East Carolina,Marcello Bussey,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,38.3,0
36,A,Memphis,East Carolina,Brady Kluse,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,30.6,0
36,A,Memphis,East Carolina,Bryce Dorsey,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,29.9,0
36,A,Memphis,East Carolina,Ger-Cari Caldwell,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,0.0,0
36,A,Memphis,East Carolina,Jamari Hawkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,35.2,2
36,A,Memphis,East Carolina,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,42.9,0
36,A,Memphis,East Carolina,C.J. Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,26.4,0
36,A,Memphis,East Carolina,Christian Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
36,A,Memphis,East Carolina,Jadon Thompson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.6,0
36,A,Memphis,East Carolina,Bryce Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,43.8,0
37,B,Memphis,East Carolina,Brendon Lewis,QB,24,17,171.9,1,0,7,0,0.0,0,0,0,0.0,0
37,B,Memphis,East Carolina,Brendon Lewis,Rusher,0,0,0.0,0,0,0,9,28.4,0,0,0,0.0,0
37,B,Memphis,East Carolina,Gregory DeRosiers,Rusher,0,0,0.0,0,0,0,7,40.6,1,0,0,0.0,0
37,B,Memphis,East Carolina,Sutton Smith,Rusher,0,0,0.0,0,0,0,8,64.5,0,0,0,0.0,0
37,B,Memphis,East Carolina,Makari Bodiford,Rusher,0,0,0.0,0,0,0,4,18.6,0,0,0,0.0,0
37,B,Memphis,East Carolina,Frank Peasant,Rusher,0,0,0.0,0,0,0,3,11.0,1,0,0,0.0,0
37,B,Memphis,East Carolina,Jamari Hawkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,18.8,1
37,B,Memphis,East Carolina,Cortez Braham,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,47.4,0
37,B,Memphis,East Carolina,Matt Adcock,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
37,B,Memphis,East Carolina,C.J. Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,3.5,0
37,B,Memphis,East Carolina,Brady Kluse,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,9.6,0
37,B,Memphis,East Carolina,Marcello Bussey,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,21.0,0
37,B,Memphis,East Carolina,Ger-Cari Caldwell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,17.1,0
37,B,Memphis,East Carolina,Bryce Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
37,B,Memphis,East Carolina,Bryce Dorsey,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,18.3,0
37,B,Memphis,East Carolina,Jadon Thompson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
37,B,Memphis,East Carolina,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,32.1,0
37,B,Memphis,East Carolina,Christian Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,4.0,0
37,B,East Carolina,Memphis,Katin Houser,QB,23,19,146.2,1,0,2,0,0.0,0,0,0,0.0,0
37,B,East Carolina,Memphis,London Montgomery,Rusher,0,0,0.0,0,0,0,12,38.1,1,0,0,0.0,0
37,B,East Carolina,Memphis,Parker Jenkins,Rusher,0,0,0.0,0,0,0,7,46.8,0,0,0,0.0,0
37,B,East Carolina,Memphis,Katin Houser,Rusher,0,0,0.0,0,0,0,8,62.5,1,0,0,0.0,0
37,B,East Carolina,Memphis,Marlon Gunn,Rusher,0,0,0.0,0,0,0,8,28.8,0,0,0,0.0,0
37,B,East Carolina,Memphis,DeJuan Lacy,Rusher,0,0,0.0,0,0,0,2,12.4,0,0,0,0.0,0
37,B,East Carolina,Memphis,TJ Engleman,Rusher,0,0,0.0,0,0,0,2,6.0,0,0,0,0.0,0
37,B,East Carolina,Memphis,Mike Wright,Rusher,0,0,0.0,0,0,0,1,11.8,0,0,0,0.0,0
37,B,East Carolina,Memphis,Brock Spalding,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,22.9,0
37,B,East Carolina,Memphis,Yannick Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
37,B,East Carolina,Memphis,Anthony Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,11.9,0
37,B,East Carolina,Memphis,Jaquaize Pettaway,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,26.8,0
37,B,East Carolina,Memphis,Jyron Waiters,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
37,B,East Carolina,Memphis,Desirrio Riles,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,53.9,0
37,B,East Carolina,Memphis,Payton Mangrum,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,21.6,1
37,B,East Carolina,Memphis,Jayvontay Conner,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,9.0,0
37,B,East Carolina,Memphis,Tyler Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
38,A,East Carolina,Memphis,Katin Houser,QB,23,16,166.4,1,0,7,0,0.0,0,0,0,0.0,0
38,A,East Carolina,Memphis,Parker Jenkins,Rusher,0,0,0.0,0,0,0,5,10.7,0,0,0,0.0,0
38,A,East Carolina,Memphis,London Montgomery,Rusher,0,0,0.0,0,0,0,15,46.4,0,0,0,0.0,0
38,A,East Carolina,Memphis,Marlon Gunn,Rusher,0,0,0.0,0,0,0,5,34.8,1,0,0,0.0,0
38,A,East Carolina,Memphis,DeJuan Lacy,Rusher,0,0,0.0,0,0,0,3,0.9,0,0,0,0.0,0
38,A,East Carolina,Memphis,Katin Houser,Rusher,0,0,0.0,0,0,0,4,20.5,0,0,0,0.0,0
38,A,East Carolina,Memphis,TJ Engleman,Rusher,0,0,0.0,0,0,0,1,2.7,0,0,0,0.0,0
38,A,East Carolina,Memphis,Mike Wright,Rusher,0,0,0.0,0,0,0,1,1.7,0,0,0,0.0,0
38,A,East Carolina,Memphis,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
38,A,East Carolina,Memphis,Anthony Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,42.8,0
38,A,East Carolina,Memphis,Brock Spalding,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,21.1,0
38,A,East Carolina,Memphis,Tyler Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
38,A,East Carolina,Memphis,Yannick Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,37.1,0
38,A,East Carolina,Memphis,Desirrio Riles,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,16.5,0
38,A,East Carolina,Memphis,Jaquaize Pettaway,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,10.6,0
38,A,East Carolina,Memphis,Jyron Waiters,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,26.4,0
38,A,East Carolina,Memphis,Jayvontay Conner,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
38,A,East Carolina,Memphis,Kelan Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.9,1
38,A,Memphis,East Carolina,Brendon Lewis,QB,22,18,192.3,0,0,5,0,0.0,0,0,0,0.0,0
38,A,Memphis,East Carolina,Gregory DeRosiers,Rusher,0,0,0.0,0,0,0,8,20.5,0,0,0,0.0,0
38,A,Memphis,East Carolina,Brendon Lewis,Rusher,0,0,0.0,0,0,0,14,74.7,3,0,0,0.0,0
38,A,Memphis,East Carolina,Arrington Maiden,Rusher,0,0,0.0,0,0,0,1,2.6,0,0,0,0.0,0
38,A,Memphis,East Carolina,Sutton Smith,Rusher,0,0,0.0,0,0,0,7,23.4,0,0,0,0.0,0
38,A,Memphis,East Carolina,Makari Bodiford,Rusher,0,0,0.0,0,0,0,4,13.4,0,0,0,0.0,0
38,A,Memphis,East Carolina,Frank Peasant,Rusher,0,0,0.0,0,0,0,1,13.0,0,0,0,0.0,0
