date,time,Team A,Team B,Spread,OU,Team A Score Actual,Team B Score Actual
5-Sep,7:00:00 PM,Louisville,James Madison,-14.5,57.5,28,14
5-Sep,7:30:00 PM,Maryland,Northern Illinois,-18.5,47.5,20,9
6-Sep,12:00:00 PM,SMU,Baylor,-3,65.5,45,48
6-Sep,12:00:00 PM,Pittsburgh,Central Michigan,-21.5,51.5,45,17
6-Sep,12:00:00 PM,Penn State,Florida International,-42.5,54.5,34,0
6-Sep,12:00:00 PM,Duke,Illinois,3,49.5,19,45
6-Sep,12:00:00 PM,Iowa State,Iowa,-3,41.5,16,13
6-Sep,12:00:00 PM,Indiana,Kennesaw State,-36.5,50.5,56,9
6-Sep,12:00:00 PM,Texas Tech,Kent State,-48.5,58.5,62,14
6-Sep,12:00:00 PM,Jacksonville State,Liberty,5.5,51.5,34,24
6-Sep,12:00:00 PM,Texas,San José State,-36.5,51.5,38,7
6-Sep,12:00:00 PM,Syracuse,UConn,-6.5,58.5,27,20
6-Sep,12:00:00 PM,NC State,Virginia,-3,53.5,35,31
6-Sep,12:45:00 PM,Texas A&M,Utah State,-32.5,54.5,44,22
6-Sep,3:30:00 PM,Cincinnati,Bowling Green,-21.5,46.5,34,20
6-Sep,3:30:00 PM,Navy,UAB,-21,60.5,38,24
6-Sep,3:30:00 PM,Colorado,Delaware,-23.5,50.5,31,7
6-Sep,3:30:00 PM,Oregon State,Fresno State,-3,48.5,27,36
6-Sep,3:30:00 PM,Missouri,Kansas,-6.5,50.5,42,31
6-Sep,3:30:00 PM,Rutgers,Miami (OH),-14.5,46.5,45,17
6-Sep,3:30:00 PM,Kentucky,Ole Miss,10,52.5,23,30
6-Sep,3:30:00 PM,Oregon,Oklahoma State,-28.5,57.5,69,3
6-Sep,3:30:00 PM,Clemson,Troy,-33.5,51.5,27,16
6-Sep,3:30:00 PM,UTSA,Texas State,-4.5,66.5,36,43
6-Sep,4:00:00 PM,Wisconsin,Middle Tennessee,-28.5,46.5,42,10
6-Sep,4:00:00 PM,Ohio,West Virginia,3,59.5,17,10
6-Sep,4:15:00 PM,Florida,South Florida,-17.5,54.5,16,18
6-Sep,5:00:00 PM,Arkansas,Arkansas State,-23.5,62.5,56,14
6-Sep,6:00:00 PM,Marshall,Missouri State,-9.5,57.5,20,21
6-Sep,7:00:00 PM,Kansas State,Army,-17.5,46.5,21,24
6-Sep,7:00:00 PM,Rice,Houston,12.5,39.5,9,35
6-Sep,7:00:00 PM,Georgia State,Memphis,13.5,54.5,16,38
6-Sep,7:00:00 PM,South Alabama,Tulane,10.5,51.5,31,33
6-Sep,7:00:00 PM,North Carolina,Charlotte,-16.5,47.5,20,3
6-Sep,7:00:00 PM,Toledo,Western Kentucky,-7,58.5,45,21
6-Sep,7:30:00 PM,Nebraska,Akron,-33.5,48,68,0
6-Sep,7:30:00 PM,Mississippi State,Arizona State,7,58.5,24,20
6-Sep,7:30:00 PM,Auburn,Ball State,-43.5,53.5,42,3
6-Sep,7:30:00 PM,Michigan State,Boston College,-3.5,45.5,42,40
6-Sep,7:30:00 PM,USC,Georgia Southern,-28.5,62.5,59,20
6-Sep,7:30:00 PM,LSU,Louisiana Tech,-37.5,51.5,23,7
6-Sep,7:30:00 PM,Oklahoma,Michigan,-5.5,46.5,24,13
6-Sep,7:30:00 PM,Virginia Tech,Vanderbilt,-1.5,47.5,20,44
6-Sep,7:45:00 PM,Alabama,UL Monroe,-38.5,50.5,73,0
6-Sep,8:00:00 PM,UNLV,UCLA,2.5,54.5,30,23
6-Sep,9:00:00 PM,New Mexico State,Tulsa,3.5,52.5,21,14
6-Sep,10:15:00 PM,Washington State,San Diego State,-1.5,45,36,13
6-Sep,10:15:00 PM,BYU,Stanford,-18.5,46.5,27,3
6-Sep,11:59:00 PM,Hawaii,Sam Houston,-7.5,48.5,37,20
6-Sep,3:30:00 PM,Western Michigan,North Texas,10,59.5,30,33
