date,time,Team A,Team B,Spread,OU,Team A Score Actual,Team B Score Actual,TeamAML,TeamBML
11/28,12:00,Mississippi State,Ole Miss,7,62.5,19,38,,
11/25/2025,16:30,UMass,Bowling Green,14,44.5,14,45,,
25-Nov,19:30,Eastern Michigan,Western Michigan,7.5,47.5,21,31,,
27-Nov,19:30,Memphis,Navy,-5.5,58.5,17,28,,
28-Nov,12:00,Nebraska,Iowa,6,38.5,16,40,,
28-Nov,12:00,Northern Illinois,Kent State,-4.5,44.5,31,34,,
28-Nov,12:00,Missisppi State,Ole Miss,7.5,62.5,19,38,,
28-Nov,12:00,Buffalo,Ohio,7,43.5,26,31,,
28-Nov,12:00,Kansas,Utah,12.5,59.5,21,31,,
28-Nov,15:00,Colorado State,Air Force,2.5,45.5,21,42,,
28-Nov,15:30,New Mexico,San Diego State,1.5,41.5,23,17,,
28-Nov,15:30,North Texas,Temple,-19.5,65.5,52,25,,
28-Nov,15:30,Georgia Tech,Georgia,13.5,59.5,9,16,,
28-Nov,16:00,Utah State,Boise State,3.5,55.5,24,25,,
28-Nov,19:30,Purdue,Indiana,28.5,54.5,3,56,,
28-Nov,19:30,Texas,Texas A&M,2.5,51.5,27,17,,
28-Nov,21:00,Arizona State,Arizona,2.5,47.5,7,23,,
29-Nov,12:00,Miami (OH),Ball State,-17.5,41.5,45,24,,
29-Nov,12:00,South Carolina,Clemson,-2.5,46.5,14,28,,
29-Nov,12:00,Kansas State,Colorado,-17.5,49.5,24,14,,
29-Nov,12:00,Florida Atlantic,East Carolina,7,66.5,3,42,,
29-Nov,12:00,Baylor,Houston,-2.5,59.5,24,31,,
29-Nov,12:00,Oklahoma State,Iowa State,14,47.5,13,20,,
29-Nov,12:00,Pittsburgh,Miami,7,50.5,7,38,,
29-Nov,12:00,Michigan,Ohio State,10,44.5,9,27,,
29-Nov,12:00,Central Michigan,Toledo,10.5,44.5,3,21,,
29-Nov,12:00,West Virginia,Texas Tech,23.5,53.5,0,49,,
29-Nov,12:00,Louisville,Kentucky,-3,46.5,41,0,,
29-Nov,13:00,Sam Houston,Florida International,10,51.5,16,56,,
29-Nov,13:00,BYU,UCF,-17.5,47,41,21,,
29-Nov,13:00,Delaware,UTEP,-4.5,54.5,61,31,,
29-Nov,13:30,Marshall,Georgia Southern,-8.5,63.5,19,24,,
29-Nov,14:00,Old Dominion,Georgia State,-26.5,58.5,27,10,,
29-Nov,14:00,Missouri State,Louisiana Tech,-2.5,50.5,30,42,,
29-Nov,14:00,Jacksonville State,Western Kentucky,3,55.5,37,34,,
29-Nov,14:30,App State,Arkansas State,-2.5,54.5,29,30,,
29-Nov,15:00,Syracuse,Boston College,3,52.5,12,34,,
29-Nov,15:00,Louisiana,UL Monroe,-9.5,48.5,30,27,,
29-Nov,15:00,New Mexico State,Middle Tennessee,-4,52.5,24,31,,
29-Nov,15:00,Texas State,South Alabama,-9.5,62.5,49,26,,
29-Nov,15:00,Tulsa,UAB,-8.5,59.5,24,31,,
29-Nov,15:30,UTSA,Army,,,24,27,,
29-Nov,15:30,TCU,Cincinnati,-3.5,56.5,45,23,,
29-Nov,15:30,Liberty,Kennesaw State,2.5,55.5,42,48,,
29-Nov,15:30,Oklahoma,LSU,-10,36.5,17,13,,
29-Nov,15:30,Arkansas,Missouri,2.5,57.5,17,31,,
29-Nov,15:30,Washington,Oregon,6.5,51.5,14,26,,
29-Nov,15:30,Rutgers,Penn State,13.5,56.5,36,40,,
29-Nov,15:30,Southern Miss,Troy,-6.5,50.5,18,28,,
29-Nov,15:30,Tennessee,Vanderbilt,-2.5,65.5,24,45,,
29-Nov,15:30,Duke,Wake Forest,-1.5,55.5,49,32,,
29-Nov,15:30,Minnesota,Wisconsin,-1.5,37.5,17,7,,
29-Nov,15:45,Coastal Carolina,James Madison,21.5,53.5,10,59,,
29-Nov,16:30,Florida,Florida State,-1.5,50.5,40,21,,
29-Nov,18:30,Washington State,Oregon State,-13.5,41.5,32,8,,
29-Nov,19:00,Michigan State,Maryland,-4,48.5,38,28,,
29-Nov,19:00,South Florida,Rice,-27.5,60.5,52,3,,
29-Nov,19:00,Virginia,Virginia Tech,-9.5,52.5,27,7,,
29-Nov,19:30,Auburn,Alabama,6,46.5,20,27,,
29-Nov,19:30,Tulane,Charlotte,-29.5,52.5,27,0,,
29-Nov,19:30,Illinois,Northwestern,-7,46.5,20,13,,
29-Nov,19:30,USC,UCLA,-21.5,59.5,29,10,,
29-Nov,19:30,NC State,North Carolina,-7.5,47.5,42,19,,
29-Nov,20:00,California,SMU,13.5,52.5,38,35,,
29-Nov,21:00,Nevada,UNLV,7.5,53.5,17,42,,
29-Nov,22:30,San José State,Fresno State,2.5,46.5,14,41,,
29-Nov,22:30,Stanford,Notre Dame,32.5,50.5,20,49,,
29-Nov,23:00,Hawaii,Wyoming,-7.5,44.5,27,7,,
