sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Virginia,Stanford,Chandler Morris,QB,36,24,284.7,2,0,1,0,0.0,0,0,0,0.0,0
16,A,Virginia,Stanford,Xavier Brown,Rusher,0,0,0.0,0,0,0,9,38.0,0,0,0,0.0,0
16,A,Virginia,Stanford,Harrison Waylee,Rusher,0,0,0.0,0,0,0,6,40.4,0,0,0,0.0,0
16,A,Virginia,Stanford,J'mari Taylor,Rusher,0,0,0.0,0,0,0,23,141.8,4,0,0,0.0,0
16,A,Virginia,Stanford,Chandler Morris,Rusher,0,0,0.0,0,0,0,3,17.2,0,0,0,0.0,0
16,A,Virginia,Stanford,Noah Vaughn,Rusher,0,0,0.0,0,0,0,4,36.1,0,0,0,0.0,0
16,A,Virginia,Stanford,John Rogers,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,9,70.3,1
16,A,Virginia,Stanford,Cameron Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,71.7,1
16,A,Virginia,Stanford,Dakota Twitty,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,24.8,0
16,A,Virginia,Stanford,Jahmal Edrine,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,57.3,0
16,A,Virginia,Stanford,Trell Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,16.7,0
16,A,Virginia,Stanford,Josiah Abdullah,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.6,0
16,A,Virginia,Stanford,Eli Wood,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
16,A,Virginia,Stanford,Sage Ennis,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
16,A,Virginia,Stanford,Suderian Harrison,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,Virginia,Stanford,Isaiah Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,16.1,0
16,A,Virginia,Stanford,Kameron Courtney,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.3,0
16,A,Stanford,Virginia,Ben Gulbranson,QB,31,18,193.0,1,1,13,0,0.0,0,0,0,0.0,0
16,A,Stanford,Virginia,Sedrick Irvin,Rusher,0,0,0.0,0,0,0,6,36.4,0,0,0,0.0,0
16,A,Stanford,Virginia,Cole Tabb,Rusher,0,0,0.0,0,0,0,2,7.2,0,0,0,0.0,0
16,A,Stanford,Virginia,Micah Ford,Rusher,0,0,0.0,0,0,0,13,33.5,0,0,0,0.0,0
16,A,Stanford,Virginia,Tuna Altahir,Rusher,0,0,0.0,0,0,0,4,16.6,0,0,0,0.0,0
16,A,Stanford,Virginia,Bryce Farrell,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,43.9,0
16,A,Stanford,Virginia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,50.8,0
16,A,Stanford,Virginia,Chico Holt,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.2,0
16,A,Stanford,Virginia,Sam Roush,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,73.2,1
16,A,Stanford,Virginia,Myles Libman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
16,A,Stanford,Virginia,CJ Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,3.1,0
16,A,Stanford,Virginia,Brendan Doyle,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,Stanford,Virginia,Caden High,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,12.7,0
16,A,Stanford,Virginia,Benjamin Blackburn,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
17,B,Stanford,Virginia,Ben Gulbranson,QB,23,12,131.9,0,0,8,0,0.0,0,0,0,0.0,0
17,B,Stanford,Virginia,Sedrick Irvin,Rusher,0,0,0.0,0,0,0,4,22.7,0,0,0,0.0,0
17,B,Stanford,Virginia,Tuna Altahir,Rusher,0,0,0.0,0,0,0,7,21.2,0,0,0,0.0,0
17,B,Stanford,Virginia,Micah Ford,Rusher,0,0,0.0,0,0,0,19,65.4,1,0,0,0.0,0
17,B,Stanford,Virginia,Cole Tabb,Rusher,0,0,0.0,0,0,0,3,31.1,1,0,0,0.0,0
17,B,Stanford,Virginia,Ben Gulbranson,Rusher,0,0,0.0,0,0,0,2,4.9,0,0,0,0.0,0
17,B,Stanford,Virginia,Benjamin Blackburn,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.1,0
17,B,Stanford,Virginia,Caden High,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,29.3,0
17,B,Stanford,Virginia,CJ Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,23.4,0
17,B,Stanford,Virginia,Sam Roush,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,49.5,0
17,B,Stanford,Virginia,Brendan Doyle,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,6,15.4,0
17,B,Stanford,Virginia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
17,B,Stanford,Virginia,Bryce Farrell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,6.2,0
17,B,Stanford,Virginia,Chico Holt,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
17,B,Virginia,Stanford,Chandler Morris,QB,38,27,286.9,1,0,5,0,0.0,0,0,0,0.0,0
17,B,Virginia,Stanford,Xavier Brown,Rusher,0,0,0.0,0,0,0,12,77.7,1,0,0,0.0,0
17,B,Virginia,Stanford,Noah Vaughn,Rusher,0,0,0.0,0,0,0,9,46.9,0,0,0,0.0,0
17,B,Virginia,Stanford,Chandler Morris,Rusher,0,0,0.0,0,0,0,6,47.1,0,0,0,0.0,0
17,B,Virginia,Stanford,Harrison Waylee,Rusher,0,0,0.0,0,0,0,9,39.3,1,0,0,0.0,0
17,B,Virginia,Stanford,J'mari Taylor,Rusher,0,0,0.0,0,0,0,15,83.1,1,0,0,0.0,0
17,B,Virginia,Stanford,Trell Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,14.7,0
17,B,Virginia,Stanford,Isaiah Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,0.0,0
17,B,Virginia,Stanford,Dillon Newton-Short,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
17,B,Virginia,Stanford,Cameron Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,50.3,1
17,B,Virginia,Stanford,Kameron Courtney,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,59.4,0
17,B,Virginia,Stanford,Sage Ennis,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,36.5,0
17,B,Virginia,Stanford,Jahmal Edrine,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,10.9,0
17,B,Virginia,Stanford,Suderian Harrison,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,29.9,0
17,B,Virginia,Stanford,Dakota Twitty,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,19.6,0
17,B,Virginia,Stanford,Eli Wood,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,42.4,0
17,B,Virginia,Stanford,John Rogers,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,4.8,0
17,B,Virginia,Stanford,Josiah Abdullah,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,18.4,0
18,A,Virginia,Stanford,Chandler Morris,QB,49,32,296.6,1,0,1,0,0.0,0,0,0,0.0,0
18,A,Virginia,Stanford,Noah Vaughn,Rusher,0,0,0.0,0,0,0,4,3.9,0,0,0,0.0,0
18,A,Virginia,Stanford,J'mari Taylor,Rusher,0,0,0.0,0,0,0,13,31.4,0,0,0,0.0,0
18,A,Virginia,Stanford,Harrison Waylee,Rusher,0,0,0.0,0,0,0,3,13.1,0,0,0,0.0,0
18,A,Virginia,Stanford,Xavier Brown,Rusher,0,0,0.0,0,0,0,9,-1.6,0,0,0,0.0,0
18,A,Virginia,Stanford,Chandler Morris,Rusher,0,0,0.0,0,0,0,3,19.3,1,0,0,0.0,0
18,A,Virginia,Stanford,Cameron Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,47.2,0
18,A,Virginia,Stanford,Isaiah Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,28.5,0
18,A,Virginia,Stanford,Dakota Twitty,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,20.3,0
18,A,Virginia,Stanford,Suderian Harrison,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,21.9,1
18,A,Virginia,Stanford,Trell Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,26.9,0
18,A,Virginia,Stanford,Sage Ennis,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,6.7,0
18,A,Virginia,Stanford,Josiah Abdullah,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
18,A,Virginia,Stanford,John Rogers,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,19.2,0
18,A,Virginia,Stanford,Jahmal Edrine,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,42.4,0
18,A,Virginia,Stanford,Kameron Courtney,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,53.3,0
18,A,Virginia,Stanford,Eli Wood,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,30.2,0
18,A,Stanford,Virginia,Ben Gulbranson,QB,38,24,222.0,1,0,8,0,0.0,0,0,0,0.0,0
18,A,Stanford,Virginia,Tuna Altahir,Rusher,0,0,0.0,0,0,0,5,30.3,0,0,0,0.0,0
18,A,Stanford,Virginia,Micah Ford,Rusher,0,0,0.0,0,0,0,15,50.9,0,0,0,0.0,0
18,A,Stanford,Virginia,Ben Gulbranson,Rusher,0,0,0.0,0,0,0,2,5.0,0,0,0,0.0,0
18,A,Stanford,Virginia,Sedrick Irvin,Rusher,0,0,0.0,0,0,0,8,34.4,1,0,0,0.0,0
18,A,Stanford,Virginia,Cole Tabb,Rusher,0,0,0.0,0,0,0,2,0.6,0,0,0,0.0,0
18,A,Stanford,Virginia,CJ Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,22.0,0
18,A,Stanford,Virginia,Sam Roush,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,46.0,0
18,A,Stanford,Virginia,Bryce Farrell,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,22.8,0
18,A,Stanford,Virginia,Caden High,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,44.3,0
18,A,Stanford,Virginia,Brendan Doyle,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,6.4,0
18,A,Stanford,Virginia,Myles Libman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,23.9,0
18,A,Stanford,Virginia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,20.0,1
18,A,Stanford,Virginia,Marcus Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,24.3,0
18,A,Stanford,Virginia,Benjamin Blackburn,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,12.3,0
19,B,Stanford,Virginia,Ben Gulbranson,QB,38,23,191.7,0,0,11,0,0.0,0,0,0,0.0,0
19,B,Stanford,Virginia,Micah Ford,Rusher,0,0,0.0,0,0,0,14,36.0,0,0,0,0.0,0
19,B,Stanford,Virginia,Cole Tabb,Rusher,0,0,0.0,0,0,0,3,3.4,0,0,0,0.0,0
19,B,Stanford,Virginia,Tuna Altahir,Rusher,0,0,0.0,0,0,0,3,10.8,0,0,0,0.0,0
19,B,Stanford,Virginia,Ben Gulbranson,Rusher,0,0,0.0,0,0,0,1,1.1,0,0,0,0.0,0
19,B,Stanford,Virginia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,42.4,0
19,B,Stanford,Virginia,Bryce Farrell,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,11,0.3,0
19,B,Stanford,Virginia,Caden High,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,5.1,0
19,B,Stanford,Virginia,Marcus Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,14.3,0
19,B,Stanford,Virginia,Sam Roush,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,63.7,0
19,B,Stanford,Virginia,Brendan Doyle,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,21.4,0
19,B,Stanford,Virginia,Benjamin Blackburn,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
19,B,Stanford,Virginia,CJ Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,34.7,0
19,B,Stanford,Virginia,Myles Libman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,9.9,0
19,B,Virginia,Stanford,Chandler Morris,QB,40,28,320.3,2,0,4,0,0.0,0,0,0,0.0,0
19,B,Virginia,Stanford,Xavier Brown,Rusher,0,0,0.0,0,0,0,15,71.5,1,0,0,0.0,0
19,B,Virginia,Stanford,J'mari Taylor,Rusher,0,0,0.0,0,0,0,11,49.5,0,0,0,0.0,0
19,B,Virginia,Stanford,Harrison Waylee,Rusher,0,0,0.0,0,0,0,6,-0.9,0,0,0,0.0,0
19,B,Virginia,Stanford,Noah Vaughn,Rusher,0,0,0.0,0,0,0,6,34.8,0,0,0,0.0,0
19,B,Virginia,Stanford,Chandler Morris,Rusher,0,0,0.0,0,0,0,3,17.5,0,0,0,0.0,0
19,B,Virginia,Stanford,Kameron Courtney,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,35.3,0
19,B,Virginia,Stanford,Trell Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,48.7,0
19,B,Virginia,Stanford,Sage Ennis,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,37.2,1
19,B,Virginia,Stanford,Suderian Harrison,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,21.0,0
19,B,Virginia,Stanford,John Rogers,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,48.4,0
19,B,Virginia,Stanford,Jahmal Edrine,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,38.3,0
19,B,Virginia,Stanford,Eli Wood,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
19,B,Virginia,Stanford,Dakota Twitty,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,18.6,0
19,B,Virginia,Stanford,Cameron Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,72.7,1
19,B,Virginia,Stanford,Josiah Abdullah,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
19,B,Virginia,Stanford,Dillon Newton-Short,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
20,A,Virginia,Stanford,Chandler Morris,QB,38,27,265.5,1,0,5,0,0.0,0,0,0,0.0,0
20,A,Virginia,Stanford,J'mari Taylor,Rusher,0,0,0.0,0,0,0,16,115.7,2,0,0,0.0,0
20,A,Virginia,Stanford,Harrison Waylee,Rusher,0,0,0.0,0,0,0,8,39.6,0,0,0,0.0,0
20,A,Virginia,Stanford,Xavier Brown,Rusher,0,0,0.0,0,0,0,12,64.7,2,0,0,0.0,0
20,A,Virginia,Stanford,Noah Vaughn,Rusher,0,0,0.0,0,0,0,5,12.3,0,0,0,0.0,0
20,A,Virginia,Stanford,Chandler Morris,Rusher,0,0,0.0,0,0,0,4,44.4,1,0,0,0.0,0
20,A,Virginia,Stanford,Eli Wood,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,3.7,0
20,A,Virginia,Stanford,Cameron Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,69.2,0
20,A,Virginia,Stanford,Sage Ennis,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
20,A,Virginia,Stanford,Kameron Courtney,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,32.3,0
20,A,Virginia,Stanford,Trell Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,17.2,0
20,A,Virginia,Stanford,John Rogers,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,23.4,0
20,A,Virginia,Stanford,Jahmal Edrine,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,16.7,0
20,A,Virginia,Stanford,Suderian Harrison,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,35.3,1
20,A,Virginia,Stanford,Isaiah Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,4.4,0
20,A,Virginia,Stanford,Dillon Newton-Short,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,20.1,0
20,A,Virginia,Stanford,Josiah Abdullah,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,21.7,0
20,A,Virginia,Stanford,Dakota Twitty,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,21.5,0
20,A,Stanford,Virginia,Ben Gulbranson,QB,37,20,177.3,1,1,12,0,0.0,0,0,0,0.0,0
20,A,Stanford,Virginia,Micah Ford,Rusher,0,0,0.0,0,0,0,7,31.8,0,0,0,0.0,0
20,A,Stanford,Virginia,Tuna Altahir,Rusher,0,0,0.0,0,0,0,4,10.6,0,0,0,0.0,0
20,A,Stanford,Virginia,Sedrick Irvin,Rusher,0,0,0.0,0,0,0,2,5.0,0,0,0,0.0,0
20,A,Stanford,Virginia,Cole Tabb,Rusher,0,0,0.0,0,0,0,2,14.7,0,0,0,0.0,0
20,A,Stanford,Virginia,Ben Gulbranson,Rusher,0,0,0.0,0,0,0,1,-2.7,0,0,0,0.0,0
20,A,Stanford,Virginia,Sam Roush,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,6.0,0
20,A,Stanford,Virginia,Bryce Farrell,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,9,74.4,0
20,A,Stanford,Virginia,CJ Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,40.9,0
20,A,Stanford,Virginia,Caden High,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,12.4,0
20,A,Stanford,Virginia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,25.6,1
20,A,Stanford,Virginia,Myles Libman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
20,A,Stanford,Virginia,Benjamin Blackburn,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
20,A,Stanford,Virginia,Marcus Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,18.0,0
20,A,Stanford,Virginia,Brendan Doyle,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
21,B,Stanford,Virginia,Ben Gulbranson,QB,43,21,157.0,1,0,9,0,0.0,0,0,0,0.0,0
21,B,Stanford,Virginia,Cole Tabb,Rusher,0,0,0.0,0,0,0,5,22.8,0,0,0,0.0,0
21,B,Stanford,Virginia,Micah Ford,Rusher,0,0,0.0,0,0,0,19,94.5,1,0,0,0.0,0
21,B,Stanford,Virginia,Sedrick Irvin,Rusher,0,0,0.0,0,0,0,5,1.4,0,0,0,0.0,0
21,B,Stanford,Virginia,Tuna Altahir,Rusher,0,0,0.0,0,0,0,5,38.0,0,0,0,0.0,0
21,B,Stanford,Virginia,Ben Gulbranson,Rusher,0,0,0.0,0,0,0,2,15.8,0,0,0,0.0,0
21,B,Stanford,Virginia,Bryce Farrell,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,7,13.0,0
21,B,Stanford,Virginia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,52.1,1
21,B,Stanford,Virginia,Chico Holt,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,0.0,0
21,B,Stanford,Virginia,Marcus Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,23.1,0
21,B,Stanford,Virginia,Myles Libman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,10.4,0
21,B,Stanford,Virginia,Sam Roush,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,8,16.3,0
21,B,Stanford,Virginia,Benjamin Blackburn,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,14.0,0
21,B,Stanford,Virginia,Brendan Doyle,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,18.2,0
21,B,Stanford,Virginia,CJ Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,9.7,0
21,B,Stanford,Virginia,Caden High,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
21,B,Virginia,Stanford,Chandler Morris,QB,31,18,226.5,1,0,1,0,0.0,0,0,0,0.0,0
21,B,Virginia,Stanford,J'mari Taylor,Rusher,0,0,0.0,0,0,0,18,71.2,1,0,0,0.0,0
21,B,Virginia,Stanford,Harrison Waylee,Rusher,0,0,0.0,0,0,0,8,19.3,0,0,0,0.0,0
21,B,Virginia,Stanford,Xavier Brown,Rusher,0,0,0.0,0,0,0,5,40.5,1,0,0,0.0,0
21,B,Virginia,Stanford,Chandler Morris,Rusher,0,0,0.0,0,0,0,5,22.8,0,0,0,0.0,0
21,B,Virginia,Stanford,Noah Vaughn,Rusher,0,0,0.0,0,0,0,6,35.1,0,0,0,0.0,0
21,B,Virginia,Stanford,Josiah Abdullah,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,24.3,0
21,B,Virginia,Stanford,Trell Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,43.2,0
21,B,Virginia,Stanford,Suderian Harrison,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,2.7,0
21,B,Virginia,Stanford,Isaiah Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
21,B,Virginia,Stanford,John Rogers,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,12.3,0
21,B,Virginia,Stanford,Jahmal Edrine,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,69.3,1
21,B,Virginia,Stanford,Cameron Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,8.6,0
21,B,Virginia,Stanford,Kameron Courtney,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,39.5,0
21,B,Virginia,Stanford,Dakota Twitty,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,26.5,0
21,B,Virginia,Stanford,Eli Wood,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
22,A,Virginia,Stanford,Chandler Morris,QB,26,17,218.7,2,0,4,0,0.0,0,0,0,0.0,0
22,A,Virginia,Stanford,Noah Vaughn,Rusher,0,0,0.0,0,0,0,5,15.3,0,0,0,0.0,0
22,A,Virginia,Stanford,Xavier Brown,Rusher,0,0,0.0,0,0,0,11,29.4,2,0,0,0.0,0
22,A,Virginia,Stanford,J'mari Taylor,Rusher,0,0,0.0,0,0,0,10,59.6,0,0,0,0.0,0
22,A,Virginia,Stanford,Harrison Waylee,Rusher,0,0,0.0,0,0,0,9,64.3,0,0,0,0.0,0
22,A,Virginia,Stanford,Chandler Morris,Rusher,0,0,0.0,0,0,0,3,6.4,0,0,0,0.0,0
22,A,Virginia,Stanford,Trell Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,27.1,0
22,A,Virginia,Stanford,Sage Ennis,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.6,0
22,A,Virginia,Stanford,Isaiah Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,40.0,0
22,A,Virginia,Stanford,Cameron Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,34.7,0
22,A,Virginia,Stanford,Suderian Harrison,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,10.8,0
22,A,Virginia,Stanford,Eli Wood,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,26.6,0
22,A,Virginia,Stanford,Jahmal Edrine,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.9,0
22,A,Virginia,Stanford,Kameron Courtney,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,26.9,1
22,A,Virginia,Stanford,Dakota Twitty,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
22,A,Virginia,Stanford,John Rogers,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,37.1,1
22,A,Stanford,Virginia,Ben Gulbranson,QB,42,26,251.4,1,0,5,0,0.0,0,0,0,0.0,0
22,A,Stanford,Virginia,Cole Tabb,Rusher,0,0,0.0,0,0,0,5,28.0,1,0,0,0.0,0
22,A,Stanford,Virginia,Tuna Altahir,Rusher,0,0,0.0,0,0,0,2,20.7,0,0,0,0.0,0
22,A,Stanford,Virginia,Sedrick Irvin,Rusher,0,0,0.0,0,0,0,3,10.2,0,0,0,0.0,0
22,A,Stanford,Virginia,Micah Ford,Rusher,0,0,0.0,0,0,0,27,66.7,0,0,0,0.0,0
22,A,Stanford,Virginia,Sam Roush,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,43.9,0
22,A,Stanford,Virginia,CJ Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,58.5,1
22,A,Stanford,Virginia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,10,41.9,0
22,A,Stanford,Virginia,Brendan Doyle,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
22,A,Stanford,Virginia,Bryce Farrell,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,62.2,0
22,A,Stanford,Virginia,Caden High,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,4.7,0
22,A,Stanford,Virginia,Marcus Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,29.4,0
22,A,Stanford,Virginia,Benjamin Blackburn,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,3.2,0
22,A,Stanford,Virginia,Myles Libman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
22,A,Stanford,Virginia,Chico Holt,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,7.6,0
23,B,Stanford,Virginia,Ben Gulbranson,QB,46,24,291.4,0,0,9,0,0.0,0,0,0,0.0,0
23,B,Stanford,Virginia,Tuna Altahir,Rusher,0,0,0.0,0,0,0,4,12.9,0,0,0,0.0,0
23,B,Stanford,Virginia,Micah Ford,Rusher,0,0,0.0,0,0,0,12,65.1,0,0,0,0.0,0
23,B,Stanford,Virginia,Cole Tabb,Rusher,0,0,0.0,0,0,0,6,14.1,0,0,0,0.0,0
23,B,Stanford,Virginia,Sedrick Irvin,Rusher,0,0,0.0,0,0,0,2,4.7,1,0,0,0.0,0
23,B,Stanford,Virginia,Ben Gulbranson,Rusher,0,0,0.0,0,0,0,1,4.9,0,0,0,0.0,0
23,B,Stanford,Virginia,Bryce Farrell,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,68.5,0
23,B,Stanford,Virginia,Sam Roush,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,10,41.1,0
23,B,Stanford,Virginia,Brendan Doyle,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
23,B,Stanford,Virginia,CJ Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,9,68.7,0
23,B,Stanford,Virginia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,69.4,0
23,B,Stanford,Virginia,Marcus Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,0.0,0
23,B,Stanford,Virginia,Benjamin Blackburn,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,27.8,0
